drug,drug_class,method,ece
ATV,PI,temperature,0.09056665730711096
DRV,PI,temperature,0.0557246110482661
FPV,PI,temperature,0.109558995478978
IDV,PI,temperature,0.07388878940330237
LPV,PI,temperature,0.10184448055570244
NFV,PI,isotonic,0.0682765963284968
SQV,PI,temperature,0.056941650611484956
TPV,PI,temperature,0.14709398387676725
ABC,NRTI,isotonic,0.017344620900868864
AZT,NRTI,temperature,0.0002167467741193238
D4T,NRTI,temperature,0.049236937492317175
DDI,NRTI,temperature,0.026277662432807273
3TC,NRTI,temperature,0.05990903410658617
TDF,NRTI,temperature,0.06846715847492786
EFV,NNRTI,temperature,0.11443965454708276
ETR,NNRTI,temperature,0.12906434821017115
NVP,NNRTI,temperature,0.07628457978425889
RPV,NNRTI,temperature,0.12339224665001902
